Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label,,
12355,36,65,759, right,,
12468,101,72,761, left,,
12582,152,73,761, left,,
12696,0,66,760, left,,
12808,0,68,760, left,,
12920,50,70,761, right,,
13033,217,68,760, left,,
13149,178,70,762, left,,
13263,62,70,762, right,,
13376,106,66,761, left,,
13490,142,69,763, left,,
13604,119,70,761, left,,
13718,91,68,762, left,,
13831,124,70,762, left,,
13945,129,71,761, left,,
14059,90,68,760, left,,
14172,102,69,761, left,,
14286,124,71,762, left,,
14400,107,68,761, left,,
14514,98,68,761, left,,
14627,114,71,761, left,,
14741,105,68,761, left,,
14855,94,68,760, left,,
14968,103,71,761, left,,
15082,98,69,761, left,,
15195,88,68,761, left,,
15310,95,70,761, left,,
15423,93,69,762, left,,
15536,82,68,761, left,,
15649,84,70,762, left,,
15762,80,68,760, left,,
15875,77,68,761, left,,
15988,78,70,760, left,,
16101,75,68,760, left,,
16214,77,69,761, left,,
16327,75,70,761, left,,
16440,74,67,760, left,,
16553,77,70,761, left,,
16666,74,70,762, left,,
16779,72,68,761, left,,
16892,76,70,761, left,,
17005,73,69,760, left,,
17118,72,68,761, left,,
17231,75,70,761, left,,
17344,71,68,760, left,,
17457,72,68,761, left,,
17572,74,70,762, left,,
17685,71,68,761, left,,
17798,71,68,760, left,,
17911,73,70,761, left,,
18024,70,68,761, left,,
18137,70,68,761, left,,
18250,74,70,762, left,,
18363,68,67,760, left,,
18476,71,69,761, left,,
18589,70,70,761, left,,
18702,67,67,761, left,,
18815,70,69,760, left,,
18928,70,69,761, left,,
19041,66,67,760, right,,
19154,71,70,762, left,,
19267,67,68,761, right,,
19380,65,67,760, right,,
19493,68,70,760, right,,
19606,65,68,761, right,,
19721,64,68,761, right,,
19834,68,70,761, right,,
19947,63,68,761, right,,
20060,65,68,761, right,,
20173,66,70,762, right,,
20286,61,68,760, right,,
20399,64,68,761, right,,
20512,66,70,760, right,,
20625,62,67,761, right,,
20738,65,69,760, right,,
20851,66,69,762, right,,
20964,62,67,760, right,,
21077,67,69,760, right,,
21190,64,68,761, right,,
21303,63,67,760, right,,
21416,68,70,761, right,,
21529,66,68,762, right,,
21642,65,67,761, right,,
21755,68,70,761, right,,
21870,67,68,761, right,,
21983,65,67,760, right,,
22096,70,70,761, right,,
22209,64,67,761, right,,
22322,65,68,760, right,,
22435,67,69,761, right,,
22548,62,67,761, right,,
22661,66,68,760, right,,
22774,66,69,761, right,,
22887,60,67,759, right,,
23000,64,68,761, right,,
23113,65,69,762, right,,
23226,58,66,760, right,,
23339,46,69,761, right,,
23452,28,68,762, right,,
23565,26,67,760, right,,
23678,33,70,762, right,,
23791,38,68,760, right,,
23904,40,67,760, right,,
24019,53,69,761, right,,
24132,48,68,761, right,,
24245,47,67,760, right,,
24358,50,69,760, right,,
24471,47,67,761, right,,
24584,48,67,761, right,,
24697,47,69,761, right,,
24810,47,66,760, right,,
24923,49,68,760, right,,
25036,49,69,761, right,,
25149,47,66,760, right,,
25262,51,68,761, right,,
25375,49,68,760, right,,
25488,47,66,760, right,,
25601,51,69,761, right,,
25714,49,68,761, right,,
25827,50,66,761, right,,
25940,54,69,760, right,,
26053,50,67,760, right,,
26168,51,66,760, right,,
26281,54,69,760, right,,
26394,51,67,761, right,,
26507,52,66,761, right,,
26620,55,69,761, right,,
26733,51,66,760, right,,
26846,54,67,760, right,,
26959,55,69,760, right,,
27072,50,66,760, right,,
27185,54,68,760, right,,
27298,54,68,761, right,,
27411,51,66,760, right,,
27524,55,68,761, right,,
27637,54,68,760, right,,
27750,53,66,760, right,,
27863,55,68,761, right,,
27976,52,67,761, right,,
28089,56,66,760, right,,
28202,62,69,760, right,,
28317,42,68,760, right,,
28430,37,66,760, right,,
28543,39,69,761, right,,
28656,58,67,762, right,,
28769,96,66,761, left,,
28882,95,67,763, left,,
28995,94,65,763, left,,
29108,78,65,764, left,,
29221,0,65,764, left,,
29333,0,60,766, middle,,
29445,0,60,767, middle,,
29557,0,56,768, middle,,
29669,0,53,768, middle,,
29781,11,56,769, middle,,
29894,18,55,768, middle,,
30007,21,58,769, middle,,
30120,7,57,767, middle,,
30232,1,50,763, right,,
30344,11,52,763, right,,
30459,13,52,762, right,,
30572,18,51,763, right,,
30685,34,54,765, middle,,
30798,24,53,767, middle,,
30911,28,56,768, middle,,
31024,23,57,768, middle,,
31137,17,54,767, middle,,
31250,21,56,768, middle,,
31363,13,57,768, middle,,
31476,15,56,766, middle,,
31589,24,60,767, middle,,
31702,38,59,768, middle,,
31815,25,56,768, middle,,
31928,24,61,768, middle,,
32041,28,61,768, middle,,
32154,21,59,767, middle,,
32267,25,62,768, middle,,
32380,29,60,769, middle,,
32495,26,58,768, middle,,
32608,29,62,769, middle,,
32721,31,61,768, middle,,
32834,23,59,768, middle,,
32947,29,62,768, middle,,
33060,27,60,768, middle,,
33173,30,61,768, middle,,
33286,33,63,768, middle,,
33399,36,61,768, middle,,
33512,34,62,769, middle,,
33625,30,62,768, middle,,
33738,35,60,768, middle,,
33851,35,61,769, middle,,
33964,35,62,768, middle,,
34077,29,62,768, middle,,
34190,24,65,768, middle,,
34303,34,63,770, middle,,
34416,30,62,768, middle,,
34529,22,64,769, middle,,
34644,26,64,768, middle,,
34757,30,63,767, middle,,
34870,39,66,769, middle,,
34983,34,64,768, middle,,
35096,26,64,768, middle,,
35209,26,66,769, middle,,
35322,23,63,767, middle,,
35435,31,65,768, middle,,
35548,35,66,769, middle,,
35661,30,63,769, middle,,
35774,34,66,768, middle,,
35887,33,66,768, middle,,
36000,29,64,768, middle,,
